FuturesProduct,Period,TimeRef,ATS,MAN
Crude Oil,2012,0 - 100 ms,3.9,1.3
Crude Oil,2016,0 - 100 ms,5.6,1.1
Crude Oil,2012,100 - 500 ms,2.2,0.6
Crude Oil,2016,100 - 500 ms,2.9,0.6
Crude Oil,2012,500 ms - 1 sec,1.4,0.4
Crude Oil,2016,500 ms - 1 sec,1.8,0.4
Crude Oil,2012,1 sec - 10 sec,6.2,2.7
Crude Oil,2016,1 sec - 10 sec,7.5,2.6
Crude Oil,2012,10 sec - 1 min,5,3.5
Crude Oil,2016,10 sec - 1 min,5.2,3
Crude Oil,2012,Remaining,22.8,
Crude Oil,2016,Remaining,20.2,
Natural Gas,2012,0 - 100 ms,3.2,1.2
Natural Gas,2016,0 - 100 ms,4.4,1.1
Natural Gas,2012,100 - 500 ms,1.4,0.5
Natural Gas,2016,100 - 500 ms,1.5,0.3
Natural Gas,2012,500 ms - 1 sec,1,0.3
Natural Gas,2016,500 ms - 1 sec,1,0.2
Natural Gas,2012,1 sec - 10 sec,5.8,2.4
Natural Gas,2016,1 sec - 10 sec,6.9,1.8
Natural Gas,2012,10 sec - 1 min,5.4,3.6
Natural Gas,2016,10 sec - 1 min,7.2,2.9
Natural Gas,2012,Remaining,26.3,
Natural Gas,2016,Remaining,24.2,
Corn,2012,0 - 100 ms,1.6,0.6
Corn,2016,0 - 100 ms,2.3,0.5
Corn,2012,100 - 500 ms,1,0.5
Corn,2016,100 - 500 ms,0.9,0.2
Corn,2012,500 ms - 1 sec,0.7,0.4
Corn,2016,500 ms - 1 sec,0.7,0.2
Corn,2012,1 sec - 10 sec,4.2,3
Corn,2016,1 sec - 10 sec,4.2,1.8
Corn,2012,10 sec - 1 min,4.5,4.7
Corn,2016,10 sec - 1 min,4.8,3.3
Corn,2012,Remaining,30,
Corn,2016,Remaining,32.4,
Soybeans,2012,0 - 100 ms,2,1.1
Soybeans,2016,0 - 100 ms,2.8,0.8
Soybeans,2012,100 - 500 ms,1.4,0.7
Soybeans,2016,100 - 500 ms,1.3,0.4
Soybeans,2012,500 ms - 1 sec,1,0.6
Soybeans,2016,500 ms - 1 sec,1,0.3
Soybeans,2012,1 sec - 10 sec,5.3,4.2
Soybeans,2016,1 sec - 10 sec,5.8,2.7
Soybeans,2012,10 sec - 1 min,4.2,5.6
Soybeans,2016,10 sec - 1 min,5.1,3.7
Soybeans,2012,Remaining,26.6,
Soybeans,2016,Remaining,28.1,
Gold,2012,0 - 100 ms,4.2,1.8
Gold,2016,0 - 100 ms,4.8,1.3
Gold,2012,100 - 500 ms,3.1,1
Gold,2016,100 - 500 ms,3.3,0.6
Gold,2012,500 ms - 1 sec,1.9,0.7
Gold,2016,500 ms - 1 sec,2.1,0.5
Gold,2012,1 sec - 10 sec,7.7,4
Gold,2016,1 sec - 10 sec,8.8,3.1
Gold,2012,10 sec - 1 min,3.7,3.4
Gold,2016,10 sec - 1 min,4.5,2.8
Gold,2012,Remaining,16.6,
Gold,2016,Remaining,16.7,
Silver,2012,0 - 100 ms,4.1,1.4
Silver,2016,0 - 100 ms,5,0.9
Silver,2012,100 - 500 ms,2.3,0.5
Silver,2016,100 - 500 ms,2.2,0.3
Silver,2012,500 ms - 1 sec,1.6,0.4
Silver,2016,500 ms - 1 sec,1.5,0.3
Silver,2012,1 sec - 10 sec,7.6,2.9
Silver,2016,1 sec - 10 sec,8.2,2.1
Silver,2012,10 sec - 1 min,4.9,3.6
Silver,2016,10 sec - 1 min,6.3,3
Silver,2012,Remaining,20.1,
Silver,2016,Remaining,19.7,
